,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,preferred_liq,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-06-12,35546.11,92079.0,516.44,7782000.0,1754414000.0,0.0003,3273050262.69,10229353900.0,-8710717637.31,0.0,1.0,4018936080.0000005,22.114283047833155,0.01183230531996916,True,False
2021-06-13,39020.57,92079.0,516.44,7782000.0,1754414000.0,0.0003,3592975065.03,10229353900.0,-8390792834.969999,0.0,1.0,4018936080.0000005,22.114283047833155,0.01183230531996916,True,False
2021-06-14,40516.29,92079.0,598.49,7782000.0,1754414000.0,0.0003,3730699466.91,10229353900.0,-8253068433.09,0.0,1.0,4657449180.0,22.261733748947314,0.01183230531996916,True,False
2021-06-15,40144.04,92079.0,630.54,7782000.0,1754414000.0,0.0003,3696423059.16,10229353900.0,-8287344840.84,0.0,1.0,4906862280.0,22.313900527632196,0.01183230531996916,True,False
2021-06-16,38349.01,92079.0,619.82,7782000.0,1754414000.0,0.0004,3531138491.79,10229353900.0,-8452629408.21,0.0,1.0,4823439240.0,22.29675304583337,0.01183230531996916,True,False
2021-06-17,38092.97,92079.0,630.81,7782000.0,1754414000.0,0.0004,3507562584.63,10229353900.0,-8476205315.37,0.0,1.0,4908963420.0,22.314328640375088,0.01183230531996916,True,False
2021-06-18,35819.84,92079.0,646.46,7782000.0,1754414000.0,0.0005,3298255047.3599997,10229353900.0,-8685512852.64,0.0,1.0,5030751720.0,22.338835257208025,0.01183230531996916,True,False
2021-06-19,35483.72,105085.0,646.46,7782000.0,1754414000.0,0.0005,3728806716.2000003,10229353900.0,-8254961183.799999,0.0,1.0,5030751720.0,22.338835257208025,0.013503598046774609,True,False
2021-06-20,35600.16,105085.0,646.46,7782000.0,1754414000.0,0.0005,3741042813.6000004,10229353900.0,-8242725086.4,0.0,1.0,5030751720.0,22.338835257208025,0.013503598046774609,True,False
2021-06-21,31608.93,105085.0,583.67,7782000.0,1754414000.0,0.0005,3321624409.05,10229353900.0,-8662143490.95,0.0,1.0,4542119940.0,22.236659687150343,0.013503598046774609,True,False
2021-06-22,32509.56,105085.0,553.72,7782000.0,1754414000.0,0.0004,3416267112.6,10229353900.0,-8567500787.4,0.0,1.0,4309049040.0,22.18398307634617,0.013503598046774609,True,False
2021-06-23,33678.07,105085.0,553.0,7782000.0,1754414000.0,0.0005,3539059985.95,10229353900.0,-8444707914.05,0.0,1.0,4303446000.0,22.182681934048972,0.013503598046774609,True,False
2021-06-24,34663.09,105085.0,581.88,7782000.0,1754414000.0,0.0005,3642570812.6499996,10229353900.0,-8341197087.35,0.0,1.0,4528190160.0,22.233588173431897,0.013503598046774609,True,False
